2020-08-14T00:00:00L11108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第10表  家庭住宅及主要設備概況依可支配所得按戶數五等分位分,Table 10. Household Housing and Household Facilities by Five Equal Divisions,,,,,,
,,,,of Households according to Disposable Income,,,
民 國 108 年,,,,2 0 1 9,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8734575.9999,1746915,1746915,1746915,1746915,1746915.9999,No. of households
平均每戶人數,3.02,1.7,2.45,3.13,3.68,4.13,No. of persons per household
平均每戶成年人數,2.52,1.59,2.1,2.58,2.97,3.37,No. of adults per household
平均每戶就業人數,1.4,0.42,0.99,1.44,1.86,2.32,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.1,1.36,1.74,2.13,2.57,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),84.695333188,77.555900598,80.439742007,84.131267969,88.10672882,93.243021656,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、父母或子女所擁有,4.6400354361,6.9511810871,5.8756470327,4.6744431774,3.3528147581,2.346092438,"(2)Owned by spouse, parents              or children not living together"
(3)租押,8.0399820841,10.573589146,10.443108578,8.9333005716,6.8031997348,3.4467150191,(3)Rented
(4)其他(含配住及借用),2.6246492914,4.9193291693,3.2415023821,2.2609882823,1.7372566872,0.9641708868,(4)Allotted and others
2.住宅用途,,,,,,,2.By usage of dwelling
(1)專用,96.404522892,97.783378745,95.803050112,95.927027174,95.94519626,96.563962077,(1)Independent
(2)併用,3.5954771083,2.2166212552,4.1969498885,4.0729728264,4.0548037403,3.4360379226,(2)Connected
3.建築式樣,,,,,,,3.By style of building
(1)平房,8.5643193479,20.29447358,9.8773850321,6.3138186635,3.8391379638,2.4967849729,(1)One story
(2)二～三層樓,38.645607687,47.968950334,41.300471448,38.765215,35.078273113,30.115133423,(2)Two or three stories
(3)四～五層樓,30.413689036,18.9273949,28.000640405,31.919866896,35.824551242,37.395987738,(3)Four or five stories
(4)六層樓以上,22.376383929,12.809181186,20.821503114,23.001099441,25.258037681,29.992093866,"(4)Apartment, six stories or over"
4.具有自來水設備,96.45174412,93.502697026,96.162223418,96.655317095,97.546060742,98.392421206,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,5.Parking lot
(1)自有停車位,51.505629435,55.641883425,50.412788834,51.416268857,48.330852428,53.655150609,(1)Self-owned
(2)租借停車位,14.555546402,9.81195541,12.189441093,13.006772897,15.759544041,17.546518816,(2)Rented
(3)無停車位,33.938824162,34.546161165,37.397770074,35.576958246,35.909603531,28.798330575,(3)None
6.平均每戶建坪(坪),45.092339241,39.331993889,41.381133966,44.705274295,46.751061866,53.292227494,6.Average space per household(pin)
二、家庭主要設備,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,1.Percentage of household with equip.
(1)彩色電視機,98.7366086,97.398224634,98.534678326,99.046078942,99.25753724,99.446523451,(1)Color TV
一般彩色電視機,8.0692725095,14.329455949,8.3695642186,8.056166346,5.7230486775,3.8681297611,Non-LCD TV
液晶、電漿電視,94.289057501,86.772858158,93.567770451,95.620058398,97.297440898,98.187157371,LCD、PDP TV
(2)數位影音光碟機,14.59371412,5.660122315,10.576783605,13.998270339,17.6778263,25.055562051,(2)DVD player
(3)攝影機,3.6221718268,0.6680061287,1.5931846078,2.8342478716,4.5579849069,8.4574328512,(3)Movies camera
(4)音響,20.698262678,9.7820552222,15.304561156,18.931707231,23.791163514,35.681817692,(4)Stereo
(5)鋼琴(含電子琴),7.7965847476,1.9366294629,3.7974216362,5.8649543883,8.8082433629,18.575668718,(5)Piano
(6)數位相機,16.268754925,3.8594369537,9.3068570602,15.682022272,21.517712499,30.977737419,(6)Digital camera
(7)電視遊樂器,7.2922423164,0.9275890717,3.2430191029,6.3975898712,10.156892048,15.736116655,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.920558528,74.174084564,85.580999924,88.312724584,90.580758931,90.954221754,(8)Cable TV(MOD included)
(9)家用電腦,66.686489067,25.361155556,56.378496857,74.332910563,84.888460249,92.471407351,(9)Personal computer
(10)電話機,88.188455627,82.612222033,85.407233249,89.249120059,90.506422027,93.167277915,(10)Telephone
(11)行動電話,95.551934349,82.840346224,96.540456713,98.6710184,99.768848833,99.938999062,(11)Cell phone
(12)連網(使用電腦或其他設備),89.240144906,62.56680017,89.38172714,95.497958327,98.949301726,99.80493112,(12)Internet facility
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第10表  家庭住宅及主要設備概況依可支配所得按戶數五等分位分(續),Table 10. Household Housing and Household Facilities by Five Equal Divisions,,,,,,
,,,,of Households according to Disposable Income (Cont.),,,
民 國 108 年,,,,2 0 1 9,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
(13)汽車,60.818400732,27.672005947,48.840707272,65.773636495,75.692703016,86.11293645,(13)Sedan vehicle
(14)機車,84.150169827,72.169716466,83.769667714,87.85003817,90.657103812,86.304321738,(14)Motorcycle
(15)電磁爐,32.573092497,18.295472489,26.051181589,34.079977184,38.522510642,45.916312942,(15)Electro-magnetic oven
(16)冷暖氣機,94.705461301,85.499296758,94.404656081,95.96691922,98.36199485,99.294436971,(16)Air conditioner
(17)除濕機,38.500506554,17.878403962,29.126266402,37.83751832,47.785382648,59.874949202,(17)Dehumidifier
(18)洗衣機,98.700028602,96.174940356,98.958606765,99.121516234,99.543728122,99.701350961,(18)Washing machine
