category,files,,
,title,link,description
補強技術手冊,單棟大樓階段性補強技術手冊 (評估與設計技術篇),https://privatebuilding.ncree.org.tw/download/pro_manual/…,
,單棟大樓階段性補強技術手冊 (施工及監造篇),https://privatebuilding.ncree.org.tw/download/pro_manual/…,
課程講義,課程講義 檔案名稱 1,https://privatebuilding.ncree.org.tw/download/courses/…,
,課程講義 檔案名稱 2,https://privatebuilding.ncree.org.tw/download/courses/…,
參考圖說,高強度錨栓連接貼附式構架補強工法參考圖說,https://privatebuilding.ncree.org.tw/download/參考圖說/…,
,超高性能混凝土 UHPC 補強工法參考圖說,https://privatebuilding.ncree.org.tw/download/參考圖說/…,
計畫結案報告,106 年度『單棟大樓階段性補強技術手冊及示範案例規劃設計監造』委託技術服務案結案報告書,https://privatebuilding.ncree.org.tw/download/report/…,
,106 年度其他結案報告,https://privatebuilding.ncree.org.tw/download/report/…,
